,products Name,description,offer prices,original price,Discount
74,fastrack,mens 40-49 mm bare basic 2020 black dial leather analogue watch - 3247sl01,1571,2095,25
75,fastrack,womens green dial analogue watch,1750,,
76,fastrack,mens leather 1 fold wallet with belt - brown,1695,,
77,fastrack,mens 42.5 x 49.7 x 11.15 opulence blue dial stainless steel band analog watch - 3288qm01,4646,6195,25
78,fastrack,mens gamify grey dial metallic analogue watch - 3250nm01,2396,2995,20
79,fastrack,mens go skate white dial multi function watch - 3215sm01,2321,3095,25
80,fastrack,womens ft stunners light puple dial leather analog watch,1140,1425,20
81,fastrack,womens trendies  analogue plastic watch - 68006pp01,1536,2195,30
82,fastrack,mens leather buckle closure casual belt - brown,995,,
83,fastrack,mens 38 mm after dark brown dial suede leather analog watch - 3270sl01,3446,4595,25
84,fastrack,mens 41.5 mm wear your look black dial leather analogue watch - 3089sl16,1916,2395,20
85,fastrack,womens analogue plastic watch - 68006pp04,1756,2195,20
86,fastrack,mens 40.7 mm after dark black dial suede leather analogue watch - 3273ql01,1946,2595,25
87,fastrack,womens ruffles black dial analogue watch - 6216nm01,2876,3595,20
88,fastrack,mens black dial stainless steel analogue watch - 38051sm07,1396,1995,30
89,fastrack,womens ruffles pink dial leather analogue watch - 6206wl02,2236,2795,20
90,fastrack,exuberant 2.0 44.90 x 50.60 x 10.60 mm silver white dial leather analog watch for men,4995,,
91,fastrack,pu magnetic closure women's casual hobo shoulder bag - navy,2895,,
92,fastrack,mens trendies 3.0 black dial silicone analogue watch - 38058pp03,1240,1550,20
93,fastrack,mixmatched blue & pink dial leather analog unisex watch,2996,3995,25
94,fastrack,pu magnetic closure women's party sling bag - yellow,1495,,
95,fastrack,mens 1 fold wallet with belt combo - black,1695,,
96,fastrack,mens two tone dial analogue watch - 3184nm01,2316,2895,20
97,fastrack,stunners 7.0 31 x 38 x 7.3 mm rose gold dial stainless steel analogue watch for women,2195,,
98,fastrack,streetwear 5.0 51.8 x 54.4 x 17.5 mm black dial polyurethane analog watch for men,2195,,
99,fastrack,stunners 6.0 silver white sheet metal analog for men 3278sm04,1196,1495,20
